* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:07:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Aug 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
191.894531 92.699 36.2764
192.260742 91.885 33.5557
192.626953 90.994 33.9077
192.993164 90.443 36.8428
193.359375 90.417 39.3994
193.725586 90.622 39.1021
194.091797 90.650 36.1724
194.458008 90.291 32.4302
194.824219 89.560 30.0601
195.190430 88.709 30.8682
195.556641 88.195 34.8357
195.922852 88.301 39.0493
196.289062 88.782 40.4917
196.655273 89.199 38.9180
197.021484 89.296 35.8391
197.387695 89.009 33.0903
197.753906 88.425 32.4263
198.120117 87.797 35.2019
198.486328 87.547 41.2134
198.852539 87.956 47.6733
199.218750 88.829 51.4280
199.584961 89.746 51.7583
199.951172 90.435 49.7400
200.317383 90.811 46.7822
200.683594 90.914 44.0142
201.049805 90.854 42.0437
201.416016 90.750 40.8123
201.782227 90.647 39.7766
202.148438 90.490 38.5493
202.514648 90.190 37.4729
202.880859 89.746 37.5977
203.247070 89.348 39.9187
203.613281 89.326 43.8948
203.979492 89.816 46.9417
204.345703 90.556 46.8784
204.711914 91.177 43.7727
205.078125 91.468 39.0444
205.444336 91.391 34.3657
205.810547 91.042 31.2180
206.176758 90.646 30.4705
206.542969 90.484 31.6858
206.909180 90.693 33.0544
207.275391 91.149 32.8286
207.641602 91.623 30.5039
208.007812 91.949 26.4644
208.374023 92.044 21.2522
208.740234 91.864 15.2559
209.106445 91.366 8.7029
209.472656 90.484 1.7437
209.838867 89.106 -5.4856
210.205078 87.028 -12.8406
210.571289 83.791 -20.1189
210.937500 77.903 -26.5422
211.303711 52.987 64.9070
211.669922 78.066 130.3723
212.036133 83.739 123.0984
212.402344 86.737 114.8301
212.768555 88.480 106.7783
213.134766 89.434 99.7561
213.500977 89.874 94.6008
213.867188 90.076 91.9326
214.233398 90.349 91.5183
214.599609 90.908 91.8660
214.965820 91.723 91.1414
215.332031 92.605 88.5327
215.698242 93.384 84.3262
216.064453 93.980 79.2065
216.430664 94.375 73.8049
216.796875 94.579 68.6025
217.163086 94.609 64.0046
217.529297 94.498 60.4185
217.895508 94.309 58.2080
218.261719 94.146 57.4729
218.627930 94.112 57.7991
218.994141 94.240 58.3818
219.360352 94.470 58.5903
219.726562 94.719 58.3484
220.092773 94.955 57.9189
220.458984 95.205 57.4307
220.825195 95.494 56.6570
221.191406 95.793 55.2710
221.557617 96.038 53.2720
221.923828 96.192 51.0801
222.290039 96.296 49.1885
222.656250 96.449 47.6382
223.022461 96.716 45.8035
223.388672 97.042 42.9124
223.754883 97.284 38.8281
224.121094 97.320 34.2505
224.487305 97.143 30.3403
224.853516 96.887 28.0457
225.219727 96.772 27.2175
225.585938 96.899 26.3684
225.952148 97.099 24.1157
226.318359 97.089 20.7004
226.684570 96.702 17.9561
227.050781 96.067 18.4985
227.416992 95.757 23.5664
227.783203 96.361 29.3328
228.149414 97.548 30.2114
228.515625 98.558 25.5588
228.881836 98.971 17.6528
229.248047 98.641 8.9270
229.614258 97.535 1.7803
229.980469 95.747 -0.7571
230.346680 93.786 4.9885
230.712891 92.855 18.4556
231.079102 93.402 30.3137
231.445312 94.405 36.0037
231.811523 95.262 38.1523
232.177734 95.989 38.9502
232.543945 96.692 38.6587
232.910156 97.338 36.9160
233.276367 97.806 33.9797
233.642578 98.029 30.8591
234.008789 98.077 28.7551
234.375000 98.149 28.2593
234.741211 98.464 28.6392
235.107422 99.054 28.2368
235.473633 99.740 25.9961
235.839844 100.318 22.1299
236.206055 100.685 17.5508
236.572266 100.855 13.1921
236.938477 100.919 9.5918
237.304688 100.984 6.6687
237.670898 101.102 3.8394
238.037109 101.226 0.5381
238.403320 101.260 -3.2864
238.769531 101.141 -7.1194
239.135742 100.895 -10.2170
239.501953 100.651 -12.1802
239.868164 100.562 -13.5398
240.234375 100.658 -15.6250
240.600586 100.779 -19.4319
240.966797 100.698 -24.7686
241.333008 100.263 -30.3616
241.699219 99.483 -34.2554
242.065430 98.639 -34.5354
242.431641 98.298 -31.5610
242.797852 98.747 -29.6167
243.164062 99.537 -32.3604
243.530273 100.092 -39.4727
243.896484 100.119 -48.9207
244.262695 99.528 -58.6172
244.628906 98.337 -66.5325
244.995117 96.691 -70.5166
245.361328 94.981 -68.8237
245.727539 93.791 -62.1160
246.093750 93.405 -54.0454
246.459961 93.615 -47.4001
246.826172 94.205 -43.0701
247.192383 94.991 -41.9409
247.558594 95.656 -44.3508
247.924805 95.874 -49.1326
248.291016 95.455 -53.7993
248.657227 94.472 -54.7007
249.023438 93.616 -48.3289
249.389648 94.074 -38.3210
249.755859 95.608 -34.4470
250.122070 97.011 -37.8804
250.488281 97.766 -44.6357
250.854492 97.872 -51.1006
251.220703 97.606 -54.6519
251.586914 97.487 -54.6597
251.953125 97.912 -53.9922
252.319336 98.656 -56.2686
252.685547 99.200 -61.9001
253.051758 99.222 -68.9458
253.417969 98.652 -74.7883
253.784180 97.689 -76.6748
254.150391 96.918 -73.2039
254.516602 96.977 -67.6802
254.882812 97.655 -65.6189
255.249023 98.249 -67.9570
255.615234 98.382 -72.3816
255.981445 98.031 -76.3298
256.347656 97.407 -77.9343
256.713867 96.886 -76.8972
257.080078 96.742 -75.1938
257.446289 96.861 -75.3303
257.812500 96.914 -77.8992
258.178711 96.678 -81.7676
258.544922 96.123 -85.2639
258.911133 95.410 -86.9431
259.277344 94.862 -86.4861
259.643555 94.756 -85.5774
260.009766 95.040 -86.7986
260.375977 95.388 -91.2334
260.742188 95.505 -98.1348
261.108398 95.236 -105.8875
261.474609 94.563 -112.4851
261.840820 93.665 -115.7251
262.207031 93.036 -114.5046
262.573242 93.224 -111.6609
262.939453 94.066 -112.2515
263.305664 94.897 -117.6960
263.671875 95.255 -126.2473
264.038086 94.953 -135.5095
264.404297 93.961 -142.8545
264.770508 92.489 -145.0107
265.136719 91.335 -139.6675
265.502930 91.522 -132.0352
265.869141 92.605 -130.9524
266.235352 93.509 -136.9873
266.601562 93.798 -146.9976
266.967773 93.418 -158.4465
267.333984 92.444 -169.5212
267.700195 91.047 -178.7598
268.066406 89.529 174.7834
268.432617 88.301 170.6409
268.798828 87.634 166.5286
269.165039 87.465 160.2065
269.531250 87.598 151.1785
269.897461 87.918 140.0088
270.263672 88.365 127.2402
270.629883 88.850 113.1689
270.996094 89.233 98.1187
271.362305 89.364 82.6833
271.728516 89.127 67.8401
272.094727 88.481 55.0576
272.460938 87.563 46.3188
272.827148 86.849 43.0571
273.193359 87.006 42.9067
273.559570 88.023 40.2148
273.925781 89.231 32.8877
274.291992 90.171 22.6738
274.658203 90.739 11.8774
275.024414 91.034 2.1250
275.390625 91.250 -6.0317
275.756836 91.544 -13.3232
276.123047 91.885 -21.0996
276.489258 92.059 -30.0127
276.855469 91.814 -39.4023
277.221680 90.970 -47.3242
277.587891 89.557 -50.2671
277.954102 88.286 -43.8486
278.320312 88.717 -31.7803
278.686523 90.649 -27.1465
279.052734 92.555 -31.6416
279.418945 93.868 -40.9272
279.785156 94.563 -51.9883
280.151367 94.732 -63.1162
280.517578 94.482 -73.2241
280.883789 93.932 -81.5127
281.250000 93.229 -87.3623
281.616211 92.572 -90.4717
281.982422 92.206 -91.3408
282.348633 92.296 -91.6812
282.714844 92.766 -93.6191
283.081055 93.346 -98.2021
283.447266 93.770 -105.0830
283.813477 93.882 -113.1582
284.179688 93.634 -121.0469
284.545898 93.094 -127.2983
284.912109 92.483 -130.7842
285.278320 92.145 -131.7026
285.644531 92.298 -132.2104
286.010742 92.792 -134.6240
286.376953 93.308 -139.3252
286.743164 93.647 -145.1685
287.109375 93.796 -150.6689
287.475586 93.892 -154.7764
287.841797 94.143 -157.4717
