* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:08:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bench Mic 4
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
141.723633 84.793 100.6074
142.089844 85.153 100.3225
142.456055 85.501 99.3945
142.822266 85.775 98.6780
143.188477 86.116 98.7917
143.554688 86.701 98.8228
143.920898 87.474 96.9812
144.287109 88.160 92.4902
144.653320 88.495 86.0210
145.019531 88.329 78.9424
145.385742 87.609 72.8528
145.751953 86.360 69.6082
146.118164 84.757 71.5757
146.484375 83.356 81.1406
146.850586 83.213 96.3257
147.216797 84.609 107.9119
147.583008 86.499 110.8250
147.949219 88.059 106.7551
148.315430 88.964 98.3289
148.681641 89.065 87.5449
149.047852 88.206 76.1792
149.414062 86.121 66.7881
149.780273 82.380 66.1135
150.146484 78.447 95.4617
150.512695 81.352 130.2222
150.878906 84.901 133.2173
151.245117 86.769 127.0020
151.611328 87.440 120.1060
151.977539 87.385 115.9976
152.343750 87.155 116.2327
152.709961 87.333 119.3533
153.076172 88.041 121.3958
153.442383 88.886 120.1074
153.808594 89.497 115.9817
154.174805 89.711 110.2847
154.541016 89.469 104.0767
154.907227 88.727 98.2959
155.273438 87.432 94.2715
155.639648 85.620 94.4485
156.005859 83.782 102.2725
156.372070 83.167 116.1992
156.738281 83.991 125.3374
157.104492 84.914 125.7114
157.470703 85.168 121.1355
157.836914 84.646 115.6667
158.203125 83.581 112.5784
158.569336 82.583 113.4734
158.935547 82.328 115.2476
159.301758 82.668 112.3684
159.667969 82.927 103.7815
160.034180 82.718 92.0032
160.400391 81.994 80.3101
160.766602 80.992 71.9319
161.132812 80.320 68.2627
161.499023 80.512 65.4084
161.865234 81.132 57.6221
162.231445 81.278 43.5503
162.597656 80.262 23.4692
162.963867 77.427 -6.4509
163.330078 73.615 -67.7542
163.696289 77.353 -140.5898
164.062500 82.046 -174.1736
164.428711 84.859 166.0322
164.794922 86.462 152.5007
165.161133 87.389 143.5186
165.527344 88.059 137.8584
165.893555 88.710 133.5750
166.259766 89.304 128.8079
166.625977 89.638 123.0132
166.992188 89.546 117.0110
167.358398 88.989 112.4324
167.724609 88.135 111.1975
168.090820 87.431 114.2563
168.457031 87.374 119.3879
168.823242 87.921 122.4846
169.189453 88.610 122.1416
169.555664 89.141 119.5967
169.921875 89.486 116.3538
170.288086 89.743 113.1099
170.654297 89.987 109.7241
171.020508 90.196 105.8032
171.386719 90.270 101.3831
171.752930 90.122 97.1431
172.119141 89.752 94.1709
172.485352 89.292 93.4512
172.851562 88.982 95.0667
173.217773 89.007 97.6833
173.583984 89.320 99.5125
173.950195 89.716 99.8176
174.316406 90.038 98.9504
174.682617 90.234 97.5244
175.048828 90.311 95.9304
175.415039 90.282 94.3545
175.781250 90.150 93.0122
176.147461 89.943 92.2456
176.513672 89.746 92.2830
176.879883 89.663 92.8318
177.246094 89.730 93.0818
177.612305 89.864 92.3960
177.978516 89.941 90.9285
178.344727 89.918 89.4646
178.710938 89.874 88.7004
179.077148 89.949 88.4724
179.443359 90.177 87.7351
179.809570 90.396 85.6958
180.175781 90.371 82.8555
180.541992 89.965 81.0813
180.908203 89.318 83.1306
181.274414 89.059 90.5278
181.640625 89.886 99.0862
182.006836 91.440 102.4600
182.373047 92.893 100.0930
182.739258 93.854 94.5559
183.105469 94.262 88.2712
183.471680 94.213 83.0706
183.837891 93.919 80.1660
184.204102 93.678 79.6572
184.570312 93.714 80.1221
184.936523 93.992 79.6497
185.302734 94.301 77.4688
185.668945 94.472 74.0569
186.035156 94.462 70.2874
186.401367 94.321 66.8003
186.767578 94.128 63.7747
187.133789 93.933 61.0420
187.500000 93.737 58.4265
187.866211 93.524 56.0081
188.232422 93.310 54.0540
188.598633 93.154 52.6968
188.964844 93.123 51.6604
189.331055 93.226 50.3645
189.697266 93.398 48.3672
190.063477 93.549 45.6750
190.429688 93.621 42.6567
190.795898 93.616 39.7505
191.162109 93.576 37.1841
191.528320 93.552 34.8296
191.894531 93.553 32.2876
192.260742 93.532 29.1814
192.626953 93.401 25.4504
192.993164 93.072 21.4653
193.359375 92.498 17.9924
193.725586 91.713 16.0601
194.091797 90.881 16.5620
194.458008 90.281 19.3311
194.824219 90.098 22.4810
195.190430 90.191 23.8318
195.556641 90.232 22.9231
195.922852 89.986 20.9326
196.289062 89.408 19.6675
196.655273 88.659 20.7417
197.021484 88.071 24.4719
197.387695 87.892 29.0740
197.753906 88.009 32.3513
198.120117 88.141 34.0146
198.486328 88.168 35.2185
198.852539 88.191 36.8335
199.218750 88.363 38.3872
199.584961 88.662 38.5908
199.951172 88.884 36.9048
200.317383 88.830 34.1245
200.683594 88.446 31.8577
201.049805 87.878 31.7585
201.416016 87.473 34.3682
201.782227 87.548 37.9622
202.148438 88.054 39.8601
202.514648 88.683 39.0811
202.880859 89.213 36.3032
203.247070 89.569 32.4932
203.613281 89.745 28.3230
203.979492 89.727 24.3398
204.345703 89.504 21.3672
204.711914 89.164 20.6106
205.078125 88.996 22.8052
205.444336 89.372 26.3613
205.810547 90.270 27.7563
206.176758 91.233 25.2832
206.542969 91.853 19.9846
